host,platform,email,url,acknowledgements,hiring,policy,encryption,languages
"archive.li","","security@archive.is","archive.li/security.txt","","","","",""
"archive.li","","security@archive.is","archive.li/security.txt","","","","",""
"blog.self.li","https://hackerone.com/automattic/reports/new","","blog.self.li/.well-known/security.txt","https://hackerone.com/automattic/thanks","https://www.tumblr.com/jobs","https://hackerone.com/automattic","",""
"blog.self.li","https://hackerone.com/automattic/reports/new","","blog.self.li/.well-known/security.txt","https://hackerone.com/automattic/thanks","https://www.tumblr.com/jobs","https://hackerone.com/automattic","",""
"bsw.li","","security@bitly.com","bsw.li/security.txt","","","","https://bitly.com/security_pgp.txt",""
"bsw.li","","security@bitly.com","bsw.li/security.txt","","","","https://bitly.com/security_pgp.txt",""
"clvr.li","","security@bitly.com","clvr.li/security.txt","","","","https://bitly.com/security_pgp.txt",""
"clvr.li","","security@bitly.com","clvr.li/security.txt","","","","https://bitly.com/security_pgp.txt",""
"cmf.li","","security@bitly.com","cmf.li/security.txt","","","","https://bitly.com/security_pgp.txt",""
"cmf.li","","security@bitly.com","cmf.li/security.txt","","","","https://bitly.com/security_pgp.txt",""
"fl1.li","","datenschutz@telecom.li informationssicherheit@telecom.li","fl1.li/.well-known/security.txt","","","","","de, en"
"go.lili.am","","security@bitly.com","go.lili.am/security.txt","","","","https://bitly.com/security_pgp.txt",""
"google.li","https://g.co/vulnz","security@google.com","google.li/.well-known/security.txt","","https://g.co/SecurityPrivacyEngJobs","https://g.co/vrp","https://services.google.com/corporate/publickey.txt",""
"google.li","https://g.co/vulnz","security@google.com","google.li/.well-known/security.txt","","https://g.co/SecurityPrivacyEngJobs","https://g.co/vrp","https://services.google.com/corporate/publickey.txt",""
"help.linktr.ee","https://bugcrowd.com/intercom","security@intercom.com","help.linktr.ee/.well-known/security.txt","https://bugcrowd.com/intercom/hall-of-fame","https://boards.greenhouse.io/intercom/jobs/1888872","https://www.bugcrowd.com/resource/standard-disclosure-terms/","","en"
"hipster.li","https://hackerone.com/automattic/reports/new","","hipster.li/.well-known/security.txt","https://hackerone.com/automattic/thanks","https://www.tumblr.com/jobs","https://hackerone.com/automattic","",""
"hipster.li","https://hackerone.com/automattic/reports/new","","hipster.li/.well-known/security.txt","https://hackerone.com/automattic/thanks","https://www.tumblr.com/jobs","https://hackerone.com/automattic","",""
"iea.li","","security@bitly.com","iea.li/security.txt","","","","https://bitly.com/security_pgp.txt",""
"iea.li","","security@bitly.com","iea.li/security.txt","","","","https://bitly.com/security_pgp.txt",""
"jointheherd.little.my","","pony@little.my","jointheherd.little.my/.well-known/security.txt","","","","",""
"k-p.li","","security@bitly.com","k-p.li/security.txt","","","","https://bitly.com/security_pgp.txt",""
"k-p.li","","security@bitly.com","k-p.li/security.txt","","","","https://bitly.com/security_pgp.txt",""
"kud.li","","security@bitly.com","kud.li/security.txt","","","","https://bitly.com/security_pgp.txt",""
"kud.li","","security@bitly.com","kud.li/security.txt","","","","https://bitly.com/security_pgp.txt",""
