host,platform,email,url,acknowledgements,hiring,policy,encryption,languages
"blog.klips.my","https://hackerone.com/automattic/reports/new","","blog.klips.my/.well-known/security.txt","https://hackerone.com/automattic/thanks","https://www.tumblr.com/jobs","https://hackerone.com/automattic","",""
"bmw.com.my","https://hackerone.com/bmwgroup/ https://www.bmwgroup.com/de/general/Security.html https://www.bmwgroup.com/en/general/Security.html","cert@bmw.de","bmw.com.my/security.txt","https://hackerone.com/bmwgroup/thanks https://www.bmwgroup.com/de/general/Security.html https://www.bmwgroup.com/en/general/Security.html","","/.well-known/security.txt HTTP/1.1  https://hackerone.com/bmwgroup?type=team&view_policy=true https://hackerone.com/bmwgroup?type=team&view_policy=trueGET https://www.bmwgroup.com/de/general/Security.html https://www.bmwgroup.com/en/general/Security.html","https://www.bmwgroup.com/content/dam/grpw/websites/bmwgroup_com/general/security/cert.txt","en,de"
"en.yelp.my","https://hackerone.com/yelp","","en.yelp.my/.well-known/security.txt","","https://www.yelp.careers/us/en/c/engineering-jobs","https://hackerone.com/yelp?view_policy=true","",""
"eucerin.my","https://soc.beiersdorf.com","security@beiersdorf.com","eucerin.my/.well-known/security.txt","","","https://soc.beiersdorf.com/disclosurepolicy.html","https://soc.beiersdorf.com/PGPKeys/disclosure-pgp.asc","en,de"
"expedia.com.my","","RespDisc@expedia.com","expedia.com.my/.well-known/security.txt","","/security.txt HTTP/1.1  https://lifeatexpedia.com/ https://lifeatexpedia.com/GET","https://www.expediagroup.com/about/privacy-data-handling-requirements/","",""
"google.com.my","https://g.co/vulnz","security@google.com","google.com.my/.well-known/security.txt","","https://g.co/SecurityPrivacyEngJobs","https://g.co/vrp","https://services.google.com/corporate/publickey.txt",""
"grm.my","","security@bitly.com","grm.my/security.txt","","","","https://bitly.com/security_pgp.txt",""
"hostinger.my","https://hackerone.com/5093805e-4e52-474b-ba7f-5c04a7ba10e7/embedded_submissions/new<br>","security@hostinger.com<br>","hostinger.my/.well-known/security.txt","","","https://www.hostinger.com/responsible-disclosure-policy","",""
"jointheherd.little.my","","pony@little.my","jointheherd.little.my/.well-known/security.txt","","","","",""
"latingram.my","","security@bitly.com","latingram.my/security.txt","","","","https://bitly.com/security_pgp.txt",""
"m.google.com.my","https://g.co/vulnz","security@google.com","m.google.com.my/.well-known/security.txt","","https://g.co/SecurityPrivacyEngJobs","https://g.co/vrp","https://services.google.com/corporate/publickey.txt",""
"michaelpage.com.my","","socREMOVETHIS@page.com","michaelpage.com.my/.well-known/security.txt","","","","",""
"ms.yelp.my","https://hackerone.com/yelp","","ms.yelp.my/.well-known/security.txt","","https://www.yelp.careers/us/en/c/engineering-jobs","https://hackerone.com/yelp?view_policy=true","",""
"oh.my","","noreply@kpau.com","oh.my/.well-known/security.txt","","","","","en"
"ponyhoof.little.my","https://hackerone.com/automattic/reports/new","","ponyhoof.little.my/.well-known/security.txt","https://hackerone.com/automattic/thanks","https://www.tumblr.com/jobs","https://hackerone.com/automattic","",""
"radioonline.my","","security@instant.audio","radioonline.my/.well-known/security.txt","","","","","en"
"shopify.my","https://www.shopify.com/security-response","security@shopify.com","shopify.my/.well-known/security.txt","https://hackerone.com/shopify/thanks","https://www.shopify.com/careers","https://hackerone.com/shopify","https://www.shopify.com/shopify-security.pub",""
"ubuy.com.my","","om@ubuy.com","ubuy.com.my/security.txt","","","","",""
"youtube.com.my","https://g.co/vulnz","security@google.com","youtube.com.my/.well-known/security.txt","","","https://g.co/vrp","https://services.google.com/corporate/publickey.txt",""
"zynga.my","","security@bitly.com","zynga.my/security.txt","","","","https://bitly.com/security_pgp.txt",""
