host,platform,email,url,acknowledgements,hiring,policy,encryption,languages
"231805.www.marketing.trendmailer.ch","","security@cleverreach.com","231805.www.marketing.trendmailer.ch/.well-known/security.txt","","","","openpgp4fpr:A2B7E482E8CD57A4D1A8160962C0E323C740650E","en,de"
"abe.ma","","security@bitly.com","abe.ma/security.txt","","","","https://bitly.com/security_pgp.txt",""
"admp.mairie-albi.fr","","dsi-securite@mairie-albi.fr","admp.mairie-albi.fr/security.txt","","","","","fr,en"
"apuntes.matiasf.com.ar","https://hackerone.com/automattic/reports/new","","apuntes.matiasf.com.ar/.well-known/security.txt","https://hackerone.com/automattic/thanks","https://www.tumblr.com/jobs","https://hackerone.com/automattic","",""
"asth.ma","https://hackerone.com/automattic/reports/new","","asth.ma/.well-known/security.txt","https://hackerone.com/automattic/thanks","https://www.tumblr.com/jobs","https://hackerone.com/automattic","",""
"bazaarcafe.ma","https://hackerone.com/automattic/reports/new","","bazaarcafe.ma/.well-known/security.txt","https://hackerone.com/automattic/thanks","https://www.tumblr.com/jobs","https://hackerone.com/automattic","",""
"blog.marcon.me","https://hackerone.com/automattic/reports/new","","blog.marcon.me/.well-known/security.txt","https://hackerone.com/automattic/thanks","https://www.tumblr.com/jobs","https://hackerone.com/automattic","",""
"blog.matt.cc","https://hackerone.com/automattic/reports/new","","blog.matt.cc/.well-known/security.txt","https://hackerone.com/automattic/thanks","https://www.tumblr.com/jobs","https://hackerone.com/automattic","",""
"camb.ma","","security@bitly.com","camb.ma/security.txt","","","","https://bitly.com/security_pgp.txt",""
"client.mafrenchbank.fr","/.well-known/security.txt HTTP/1.1  https://www.trusted-introducer.org/directory/teams/cert-la-poste.html https://www.trusted-introducer.org/directory/teams/cert-la-poste.htmlGET","","client.mafrenchbank.fr/.well-known/security.txt","","","","",""
"col.ma","","security@bitly.com","col.ma/security.txt","","","","https://bitly.com/security_pgp.txt",""
"datos.madrid.es","","security@madrid.es","datos.madrid.es/.well-known/security.txt","","","","https://www.madrid.es/.well-known/pgp-key.txt","en, es"
"ftbl.ma","","security@bitly.com","ftbl.ma/security.txt","","","","https://bitly.com/security_pgp.txt",""
