host,platform,email,url,acknowledgements,hiring,policy,encryption,languages
"english.ncsc.nl","","cert@ncsc.nl","english.ncsc.nl/.well-known/security.txt","","","https://english.ncsc.nl/contact/reporting-a-vulnerability-cvd https://www.ncsc.nl/contact/kwetsbaarheid-melden","","en nl,"
"english.ncsc.nl","","cert@ncsc.nl","english.ncsc.nl/security.txt","","","https://english.ncsc.nl/contact/reporting-a-vulnerability-cvd https://www.ncsc.nl/contact/kwetsbaarheid-melden","","en nl,"
"english.nctv.nl","","cert@ncsc.nl","english.nctv.nl/.well-known/security.txt","","","https://english.ncsc.nl/contact/reporting-a-vulnerability-cvd https://www.ncsc.nl/contact/kwetsbaarheid-melden","","en nl,"
"english.nctv.nl","","cert@ncsc.nl","english.nctv.nl/security.txt","","","https://english.ncsc.nl/contact/reporting-a-vulnerability-cvd https://www.ncsc.nl/contact/kwetsbaarheid-melden","","en nl,"
"mls.nc","","abuse chez mls.nc","mls.nc/.well-known/security.txt","","","","","fr"
"mls.nc","","abuse chez mls.nc","mls.nc/.well-known/security.txt","","","","","fr"
"moocs.nccu.edu.tw","https://moodle.org/security/report/","","moocs.nccu.edu.tw/security.txt","https://moodle.org/security/","","https://docs.moodle.org/dev/Moodle_security_procedures","","en"
"moodle.ncnu.edu.tw","https://moodle.org/security/report/","","moodle.ncnu.edu.tw/security.txt","https://moodle.org/security/","","https://docs.moodle.org/dev/Moodle_security_procedures","","en"
"rya.nc","https://rya.nc/contact.html","","rya.nc/.well-known/security.txt","","","","","en"
"rya.nc","https://rya.nc/contact.html","","rya.nc/.well-known/security.txt","","","","","en"
