host,platform,email,url,acknowledgements,hiring,policy,encryption,languages
"adityatelange.now.sh","","security@adityatelange.in","adityatelange.now.sh/.well-known/security.txt","","","","","en"
"adpu.sh","","security@bitly.com","adpu.sh/security.txt","","","","https://bitly.com/security_pgp.txt",""
"aye.sh","https://aye.sh/contact","","aye.sh/.well-known/security.txt","","","","https://aye.sh/.well-known/keys/gpg-ed25519-2CA18B2097A7429A.txt https://aye.sh/.well-known/keys/gpg-rsa4096-67CE3F1AB15C021E.txt","de en, id, si,"
"bigfi.sh","","security@bitly.com","bigfi.sh/security.txt","","","","https://bitly.com/security_pgp.txt",""
"bike.sh","","security@bitly.com","bike.sh/security.txt","","","","https://bitly.com/security_pgp.txt",""
"blip.sh","","security@bitly.com","blip.sh/security.txt","","","","https://bitly.com/security_pgp.txt",""
"blog.whisper.sh","https://hackerone.com/automattic/reports/new","","blog.whisper.sh/.well-known/security.txt","https://hackerone.com/automattic/thanks","https://www.tumblr.com/jobs","https://hackerone.com/automattic","",""
"bloom.sh","","hello@bloom.sh","bloom.sh/security.txt","","","","",""
"camengli.sh","","security@bitly.com","camengli.sh/security.txt","","","","https://bitly.com/security_pgp.txt",""
"dharme.sh","","security@bitly.com","dharme.sh/security.txt","","","","https://bitly.com/security_pgp.txt",""
"dimension.sh","","sysops@dimension.sh","dimension.sh/.well-known/security.txt","https://dimension.sh/acknowledgements/","","https://dimension.sh/security-policy/","https://dimension.sh/.well-known/gpg-key.txt","en"
"elfi.sh","","security@bitly.com","elfi.sh/security.txt","","","","https://bitly.com/security_pgp.txt",""
"en.shopify.hk","https://www.shopify.com/security-response","security@shopify.com","en.shopify.hk/.well-known/security.txt","https://hackerone.com/shopify/thanks","https://www.shopify.com/careers","https://hackerone.com/shopify","https://www.shopify.com/shopify-security.pub",""
"engr.sh","https://hackerone.com/automattic/reports/new","","engr.sh/.well-known/security.txt","https://hackerone.com/automattic/thanks","https://www.tumblr.com/jobs","https://hackerone.com/automattic","",""
"go.shr.lc","","security@bitly.com","go.shr.lc/security.txt","","","","https://bitly.com/security_pgp.txt",""
"google.sh","https://g.co/vulnz","security@google.com","google.sh/.well-known/security.txt","","https://g.co/SecurityPrivacyEngJobs","https://g.co/vrp","https://services.google.com/corporate/publickey.txt",""
"gym.sh","","security@bitly.com","gym.sh/security.txt","","","","https://bitly.com/security_pgp.txt",""
"keygen.sh","","security@keygen.sh","keygen.sh/.well-known/security.txt","https://keygen.sh/humans.txt","","","https://keygen.sh/pgp-key.txt","en"
"keygen.sh","","security@keygen.sh","keygen.sh/security.txt","https://keygen.sh/humans.txt","","","https://keygen.sh/pgp-key.txt","en"
"learn.shuffl.ai","https://bugcrowd.com/intercom","security@intercom.com","learn.shuffl.ai/.well-known/security.txt","https://bugcrowd.com/intercom/hall-of-fame","https://boards.greenhouse.io/intercom/jobs/1888872","https://www.bugcrowd.com/resource/standard-disclosure-terms/","","en"
"liam.sh","https://github.com/lrstanley https://liam.sh/chat","me@liamstanley.io","liam.sh/.well-known/security.txt","","","","https://github.com/lrstanley.gpg","en"
"liam.sh","https://github.com/lrstanley https://liam.sh/chat","me@liamstanley.io","liam.sh/security.txt","","","","https://github.com/lrstanley.gpg","en"
"livephi.sh","","security@bitly.com","livephi.sh/security.txt","","","","https://bitly.com/security_pgp.txt",""
"look.person.sh","https://hackerone.com/automattic/reports/new","","look.person.sh/.well-known/security.txt","https://hackerone.com/automattic/thanks","https://www.tumblr.com/jobs","https://hackerone.com/automattic","",""
"m.shelby.tv","https://hackerone.com/automattic/reports/new","","m.shelby.tv/.well-known/security.txt","https://hackerone.com/automattic/thanks","https://www.tumblr.com/jobs","https://hackerone.com/automattic","",""
"ory.sh","https://hackerone.com/ory_corp","security@ory.sh","ory.sh/.well-known/security.txt","","","https://hackerone.com/ory_corp","","de en,"
"oshko.sh","","security@bitly.com","oshko.sh/security.txt","","","","https://bitly.com/security_pgp.txt",""
"platform.sh","","security@platform.sh","platform.sh/.well-known/security.txt","","https://platform.sh/company/careers/","https://platform.sh/tos/#section-10-disclosures-and-notices","https://platform.sh/pgp-key.txt","en"
"purefla.sh","","security@bitly.com","purefla.sh/security.txt","","","","https://bitly.com/security_pgp.txt",""
"refr.sh","","security@bitly.com","refr.sh/security.txt","","","","https://bitly.com/security_pgp.txt",""
"resilience.sh","","resilience@wimzkl.com","resilience.sh/security.txt","","","","http://cryptonomicon.mit.edu/pks/lookup?op=get&search=0x00D4D7E07BDE33A1",""
"s.shr.lc","","security@bitly.com","s.shr.lc/.well-known/security.txt","","","","https://bitly.com/security_pgp.txt",""
"s.shr.lc","","security@bitly.com","s.shr.lc/security.txt","","","","https://bitly.com/security_pgp.txt",""
"skl.sh","","security@bitly.com","skl.sh/security.txt","","","","https://bitly.com/security_pgp.txt",""
"swoo.sh","","security@bitly.com","swoo.sh/security.txt","","","","https://bitly.com/security_pgp.txt",""
"testssl.sh","$(which SWCONTACT grep https://drwetter.eu/kontakt https://testssl.sh/bugs/ prompt> testssl.sh)","","testssl.sh/.well-known/security.txt","","","","","de, en, fr"
"tumblr.kri.sh","https://hackerone.com/automattic/reports/new","","tumblr.kri.sh/.well-known/security.txt","https://hackerone.com/automattic/thanks","https://www.tumblr.com/jobs","https://hackerone.com/automattic","",""
"uwo.sh","","security@bitly.com","uwo.sh/security.txt","","","","https://bitly.com/security_pgp.txt",""
