host,platform,email,url,acknowledgements,hiring,policy,encryption,languages
"a.dy.si","","security@bitly.com","a.dy.si/security.txt","","","","https://bitly.com/security_pgp.txt",""
"acros.si","","security@acrossecurity.com","acros.si/.well-known/security.txt","","","","https://www.acrossecurity.com/pgpkey.asc",""
"alter.si","","ziga@alter.si","alter.si/.well-known/security.txt","","","","","en, si"
"anc.si","","security@bitly.com","anc.si/security.txt","","","","https://bitly.com/security_pgp.txt",""
"blog.elnino.si","https://hackerone.com/automattic/reports/new","","blog.elnino.si/.well-known/security.txt","https://hackerone.com/automattic/thanks","https://www.tumblr.com/jobs","https://hackerone.com/automattic","",""
"bmw.si","https://hackerone.com/bmwgroup/ https://www.bmwgroup.com/de/general/Security.html https://www.bmwgroup.com/en/general/Security.html","cert@bmw.de","bmw.si/security.txt","https://hackerone.com/bmwgroup/thanks https://www.bmwgroup.com/de/general/Security.html https://www.bmwgroup.com/en/general/Security.html","","/.well-known/security.txt HTTP/1.1  https://hackerone.com/bmwgroup?type=team&view_policy=true https://hackerone.com/bmwgroup?type=team&view_policy=trueGET https://www.bmwgroup.com/de/general/Security.html https://www.bmwgroup.com/en/general/Security.html","https://www.bmwgroup.com/content/dam/grpw/websites/bmwgroup_com/general/security/cert.txt","en,de"
"britishschool.si","","user@example.com","britishschool.si/security.txt","","","https://britishschool.si/security-policy","https://britishschool.si/pgp-key.txt",""
"canon.si","","appsec@canon-europe.com","canon.si/.well-known/security.txt","","","https://www.canon-europe.com/support/vulnerability-disclosure-policy/","","en"
"conradi.si","","info@alpha.bot","conradi.si/.well-known/security.txt","","","","","en"
"e.famnit.upr.si","https://moodle.org/security/report/","","e.famnit.upr.si/security.txt","https://moodle.org/security/","","https://docs.moodle.org/dev/Moodle_security_procedures","","en"
"google.si","https://g.co/vulnz","security@google.com","google.si/.well-known/security.txt","","https://g.co/SecurityPrivacyEngJobs","https://g.co/vrp","https://services.google.com/corporate/publickey.txt",""
"intrix.si","+386059089990","security@intera.si","intrix.si/security.txt","","","","","en sl,"
"kompas.si","","","kompas.si/security.txt","","","","",""
"m.youtube.si","https://g.co/vulnz","security@google.com","m.youtube.si/.well-known/security.txt","","","https://g.co/vrp","https://services.google.com/corporate/publickey.txt",""
"noprintz.si","","sys@noprintz.si","noprintz.si/security.txt","","","","",""
"notino.si","https://www.notino.com/contact/","security@notino.com","notino.si/.well-known/security.txt","","https://jobs.notino.com/","https://www.notino.com/bug-bounty.html","","cs en,"
"oblak.noreia.si","https://hackerone.com/nextcloud","","oblak.noreia.si/.well-known/security.txt","https://github.com/nextcloud/security-advisories/security/advisories https://hackerone.com/nextcloud/thanks","","https://hackerone.com/nextcloud","",""
"omv.si","","security@omv.com","omv.si/.well-known/security.txt","","","","",""
"pep.si","","security@bitly.com","pep.si/security.txt","","","","https://bitly.com/security_pgp.txt",""
"radio.co.si","","security@instant.audio","radio.co.si/.well-known/security.txt","","","","","en"
"register.si","","dns@register.si?subject=Responsible_disclosure","register.si/.well-known/security.txt","","","https://www.register.si/en/responsible-disclosure-policy/","https://www.register.si/.well-known/pgp.txt","en, sl"
"registry.si","","dns@register.si?subject=Responsible_disclosure","registry.si/.well-known/security.txt","","","https://www.register.si/en/responsible-disclosure-policy/","https://www.register.si/.well-known/pgp.txt","en, sl"
"roche.si","","security@roche.com","roche.si/.well-known/security.txt","","","https://hackerone.com/roche?view_policy=true","",""
"skupnost.sio.si","https://moodle.org/security/report/","","skupnost.sio.si/security.txt","https://moodle.org/security/","","https://docs.moodle.org/dev/Moodle_security_procedures","","en"
"ucilnica.fri.uni-lj.si","https://moodle.org/security/report/","","ucilnica.fri.uni-lj.si/security.txt","https://moodle.org/security/","","https://docs.moodle.org/dev/Moodle_security_procedures","","en"
"ucilnice.arnes.si","https://moodle.org/security/report/","","ucilnice.arnes.si/security.txt","https://moodle.org/security/","","https://docs.moodle.org/dev/Moodle_security_procedures","","en"
"upr.si","","miha@ngn.si","upr.si/security.txt","","","","",""
"yahoo.si","https://hackerone.com/yahoo","security@yahooinc.com","yahoo.si/.well-known/security.txt","","https://www.yahooinc.com/careers/search.html?q=paranoids","https://hackerone.com/yahoo?view_policy=true","",""
"youtube.si","https://g.co/vulnz","security@google.com","youtube.si/.well-known/security.txt","","","https://g.co/vrp","https://services.google.com/corporate/publickey.txt",""
