host,platform,email,url,acknowledgements,hiring,policy,encryption,languages
"231805.www.marketing.trendmailer.ch","","security@cleverreach.com","231805.www.marketing.trendmailer.ch/.well-known/security.txt","","","","openpgp4fpr:A2B7E482E8CD57A4D1A8160962C0E323C740650E","en,de"
"acikders.ankara.edu.tr","https://moodle.org/security/report/","","acikders.ankara.edu.tr/security.txt","https://moodle.org/security/","","https://docs.moodle.org/dev/Moodle_security_procedures","","en"
"blablacar.com.tr","https://yeswehack.com/programs/bug-bounty-program-blablacar","","blablacar.com.tr/.well-known/security.txt","","/.well-known/security.txt HTTP/1.1  https://www.blablacar.com/dreamjobs https://www.blablacar.com/dreamjobsGET","","",""
"bmw.com.tr","https://hackerone.com/bmwgroup/ https://www.bmwgroup.com/de/general/Security.html https://www.bmwgroup.com/en/general/Security.html","cert@bmw.de","bmw.com.tr/.well-known/security.txt","https://hackerone.com/bmwgroup/thanks https://www.bmwgroup.com/de/general/Security.html https://www.bmwgroup.com/en/general/Security.html","","/.well-known/security.txt /security.txt HTTP/1.1  https://hackerone.com/bmwgroup?type=team&view_policy=true https://hackerone.com/bmwgroup?type=team&view_policy=trueGET https://www.bmwgroup.com/de/general/Security.html https://www.bmwgroup.com/en/general/Security.html","https://www.bmwgroup.com/content/dam/grpw/websites/bmwgroup_com/general/security/cert.txt","en,de"
"bmw.com.tr","https://hackerone.com/bmwgroup/ https://www.bmwgroup.com/de/general/Security.html https://www.bmwgroup.com/en/general/Security.html","cert@bmw.de","bmw.com.tr/security.txt","https://hackerone.com/bmwgroup/thanks https://www.bmwgroup.com/de/general/Security.html https://www.bmwgroup.com/en/general/Security.html","","/.well-known/security.txt /security.txt HTTP/1.1  https://hackerone.com/bmwgroup?type=team&view_policy=true https://hackerone.com/bmwgroup?type=team&view_policy=trueGET https://www.bmwgroup.com/de/general/Security.html https://www.bmwgroup.com/en/general/Security.html","https://www.bmwgroup.com/content/dam/grpw/websites/bmwgroup_com/general/security/cert.txt","en,de"
"boyner.com.tr","","security@boyner.com.tr","boyner.com.tr/security.txt","","","","",""
"casa.trovit.pt","","bugbounty@lifullconnect.com","casa.trovit.pt/.well-known/security.txt","","https://www.lifullconnect.com/careers/","","",""
"decathlon.com.tr","","security@decathlon.com","decathlon.com.tr/.well-known/security.txt","","https://recrutement.decathlon.fr/","","","en-fr"
"esky.com.tr","","security@esky.com","esky.com.tr/.well-known/security.txt","","https://it.esky.pl/dolacz-do-nas/","","https://www.esky.com/.well-known/publickey.txt","en, pl"
"gantep.edu.tr","","","gantep.edu.tr/security.txt","","","","",""
"gaziantep.edu.tr","","","gaziantep.edu.tr/security.txt","","","","",""
"gemius.com.tr","","security@gemius.com","gemius.com.tr/security.txt","","","","",""
"google.com.tr","https://g.co/vulnz","security@google.com","google.com.tr/.well-known/security.txt","","https://g.co/SecurityPrivacyEngJobs","https://g.co/vrp","https://services.google.com/corporate/publickey.txt",""
"hostinger.web.tr","https://hackerone.com/5093805e-4e52-474b-ba7f-5c04a7ba10e7/embedded_submissions/new<br>","security@hostinger.com<br>","hostinger.web.tr/.well-known/security.txt","","","https://www.hostinger.com/responsible-disclosure-policy","",""
"nivea.com.tr","https://soc.beiersdorf.com","security@beiersdorf.com","nivea.com.tr/.well-known/security.txt","","","https://soc.beiersdorf.com/disclosurepolicy.html","https://soc.beiersdorf.com/PGPKeys/disclosure-pgp.asc","en,de"
"social.trom.tf","","info@friendi.ca","social.trom.tf/.well-known/security.txt","","","https://friendi.ca/security-policy/","","en"
"social.trom.tf","","info@friendi.ca","social.trom.tf/security.txt","","","https://friendi.ca/security-policy/","","en"
"social.trueface.ai","","security@bitly.com","social.trueface.ai/security.txt","","","","https://bitly.com/security_pgp.txt",""
"sonet.com.tr","","so.tech@sonet.com.tr","sonet.com.tr/.well-known/security.txt","","","https://www.sonet.com.tr/kisisel-veri-guvenligi-politikasi.html","https://www.sonet.com.tr/.well-known/0x753113B8-pub.txt","en, tr"
"sonet.com.tr","","so.tech@sonet.com.tr","sonet.com.tr/security.txt","","","https://www.sonet.com.tr/kisisel-veri-guvenligi-politikasi.html","https://www.sonet.com.tr/.well-known/0x753113B8-pub.txt","en, tr"
"thinkwithgoogle.com.tr","https://g.co/vulnz","security@google.com","thinkwithgoogle.com.tr/.well-known/security.txt","","https://g.co/SecurityPrivacyEngJobs","https://g.co/vrp","https://services.google.com/corporate/publickey.txt",""
"www.boyner.com.tr","","security@boyner.com.tr","www.boyner.com.tr/security.txt","","","","",""
